epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.79,4.73889,8.28098,2.85363,0.00015,0.01185,9e-05,2e-05,4.57758,6.63038,3.07266,5.712e-05,5.712e-05,5.712e-05
2,31.6087,4.21517,5.85748,2.63788,0.0001,0.01481,6e-05,1e-05,3.91854,5.7336,2.15558,0.000118977,0.000118977,0.000118977
3,46.6957,3.84395,6.08129,2.08678,0.0001,0.01481,9e-05,2e-05,3.72815,5.66883,1.90878,0.000178289,0.000178289,0.000178289
4,61.2208,3.70587,5.5737,1.98811,0.00046,0.03682,0.00047,9e-05,3.61235,5.53162,1.84603,0.000235056,0.000235056,0.000235056
5,75.7034,3.56309,5.5707,1.95496,0.00065,0.04815,0.00077,0.00027,3.52602,5.44365,1.804,0.000289279,0.000289279,0.000289279
6,90.5038,3.57398,5.34975,1.85552,0.00072,0.09185,0.0012,0.00039,3.45361,5.3232,1.77574,0.000340956,0.000340956,0.000340956
7,105.25,3.49774,4.84002,1.84917,0.00067,0.09333,0.00361,0.00122,3.33825,5.16007,1.7875,0.00039009,0.00039009,0.00039009
8,120.764,3.45801,4.85304,1.72865,0.00224,0.10936,0.04465,0.01766,3.29679,5.02696,1.82476,0.000436678,0.000436678,0.000436678
9,136.136,3.35018,4.84335,1.81195,0.0018,0.1065,0.04558,0.0142,3.36586,4.97034,1.82292,0.000480722,0.000480722,0.000480722
10,151.801,3.15522,4.60447,1.66672,0.00265,0.13579,0.05027,0.0157,3.35246,4.86148,1.79813,0.000522221,0.000522221,0.000522221
11,168.052,3.21806,4.65757,1.69602,0.00327,0.14274,0.01316,0.00483,3.41234,4.69625,1.81116,0.000561175,0.000561175,0.000561175
12,184.673,3.13177,4.20817,1.71523,0.00341,0.16695,0.01576,0.00552,3.31455,4.53308,1.74835,0.000558491,0.000558491,0.000558491
13,200.076,3.25871,4.41215,1.68978,0.90342,0.00926,0.01822,0.00544,3.25825,4.41956,1.70507,0.000544354,0.000544354,0.000544354
14,214.788,3.08421,4.52282,1.61482,0.00353,0.19207,0.0186,0.00547,3.23418,4.33783,1.67612,0.000530216,0.000530216,0.000530216
15,229.294,3.17603,4.0427,1.52883,0.00343,0.17507,0.0275,0.00828,3.24173,4.25189,1.64371,0.000516079,0.000516079,0.000516079
16,244.249,2.97943,4.21235,1.54469,0.61964,0.07382,0.03444,0.01012,3.2136,4.17855,1.63505,0.000501942,0.000501942,0.000501942
17,258.877,3.05262,4.66602,1.57341,0.62457,0.04746,0.04216,0.01555,3.10734,4.09479,1.62617,0.000487805,0.000487805,0.000487805
18,273.608,3.23012,4.41308,1.66436,0.68203,0.0612,0.04154,0.01719,3.08026,4.04249,1.63433,0.000473668,0.000473668,0.000473668
